episode,epsilon,moves,return,won,replay_size,loss,rolling_success_100
1,1.0,50,-50.0,False,50,,0.0
2,0.99894,3,-12.0,False,53,,0.0
3,0.99789,50,-50.0,False,103,1.2681666612625122,0.0
4,0.99683,14,-23.0,False,117,0.16870780289173126,0.0
5,0.99578,50,-50.0,False,167,0.4409042000770569,0.0
6,0.99472,50,-50.0,False,217,0.09402360022068024,0.0
7,0.99367,50,-50.0,False,267,0.22813920676708221,0.0
8,0.99261,14,-23.0,False,281,0.33121079206466675,0.0
9,0.99156,3,-12.0,False,284,0.4021305739879608,0.0
10,0.9905,19,-8.0,True,303,0.09291363507509232,0.1
11,0.98944,37,-26.0,True,340,0.10642726719379425,0.18181818181818182
12,0.98839,2,-11.0,False,342,0.41201251745224,0.16666666666666666
13,0.98733,7,4.0,True,349,0.2790015935897827,0.23076923076923078
14,0.98628,13,-22.0,False,362,0.23831093311309814,0.21428571428571427
15,0.98522,44,-53.0,False,406,3.4274423122406006,0.2
16,0.98417,2,-11.0,False,408,0.6384605169296265,0.1875
17,0.98311,50,-50.0,False,458,0.28049370646476746,0.17647058823529413
18,0.98206,13,-22.0,False,471,0.17345014214515686,0.16666666666666666
19,0.981,38,-27.0,True,509,0.43212348222732544,0.21052631578947367
20,0.97994,22,-31.0,False,531,0.5224444270133972,0.2
21,0.97889,49,-38.0,True,580,2.2216386795043945,0.23809523809523808
22,0.97783,20,-29.0,False,600,0.6233304142951965,0.22727272727272727
23,0.97678,5,-14.0,False,605,0.4174002707004547,0.21739130434782608
24,0.97572,17,-26.0,False,622,1.8304660320281982,0.20833333333333334
25,0.97467,8,-17.0,False,630,2.596881866455078,0.2
26,0.97361,32,-21.0,True,662,1.0033584833145142,0.23076923076923078
27,0.97256,50,-50.0,False,712,2.4254937171936035,0.2222222222222222
28,0.9715,32,-41.0,False,744,0.4931774139404297,0.21428571428571427
29,0.97044,27,-16.0,True,771,0.23167645931243896,0.2413793103448276
30,0.96939,50,-50.0,False,821,1.327866554260254,0.23333333333333334
31,0.96833,50,-50.0,False,871,0.129597470164299,0.22580645161290322
32,0.96728,14,-3.0,True,885,0.3185253441333771,0.25
33,0.96622,50,-50.0,False,935,0.2555876672267914,0.24242424242424243
34,0.96517,9,-18.0,False,944,0.4823402762413025,0.23529411764705882
35,0.96411,22,-31.0,False,966,0.12693831324577332,0.22857142857142856
36,0.96306,20,-29.0,False,986,0.1034325659275055,0.2222222222222222
37,0.962,50,-50.0,False,1036,0.1219642236828804,0.21621621621621623
38,0.96094,40,-49.0,False,1076,0.07353109121322632,0.21052631578947367
39,0.95989,50,-50.0,False,1126,0.06962084025144577,0.20512820512820512
40,0.95883,43,-32.0,True,1169,0.03258459270000458,0.225
41,0.95778,13,-22.0,False,1182,0.04038481414318085,0.21951219512195122
42,0.95672,6,-15.0,False,1188,0.02058514580130577,0.21428571428571427
43,0.95567,44,-33.0,True,1232,0.024323666468262672,0.23255813953488372
44,0.95461,3,-12.0,False,1235,0.03187376633286476,0.22727272727272727
45,0.95356,5,-14.0,False,1240,0.03337196260690689,0.2222222222222222
46,0.9525,9,-18.0,False,1249,0.01881983131170273,0.21739130434782608
47,0.95144,50,-50.0,False,1299,0.013719419948756695,0.2127659574468085
48,0.95039,2,-11.0,False,1301,0.022978324443101883,0.20833333333333334
49,0.94933,16,-5.0,True,1317,0.009178463369607925,0.22448979591836735
50,0.94828,50,-50.0,False,1367,0.011978860944509506,0.22
51,0.94722,48,-57.0,False,1415,0.0025353203527629375,0.21568627450980393
52,0.94617,2,-11.0,False,1417,0.0041644759476184845,0.21153846153846154
53,0.94511,8,-17.0,False,1425,0.004353573080152273,0.20754716981132076
54,0.94406,11,-20.0,False,1436,0.007407905533909798,0.2037037037037037
55,0.943,2,-11.0,False,1438,0.010602658614516258,0.2
56,0.94194,2,-11.0,False,1440,0.0013429817045107484,0.19642857142857142
57,0.94089,9,-18.0,False,1449,0.0027645649388432503,0.19298245614035087
58,0.93983,10,1.0,True,1459,0.007542990148067474,0.20689655172413793
59,0.93878,50,-39.0,True,1509,0.0019602319225668907,0.22033898305084745
60,0.93772,15,-24.0,False,1524,0.005360898096114397,0.21666666666666667
61,0.93667,50,-50.0,False,1574,0.003874649526551366,0.21311475409836064
62,0.93561,50,-50.0,False,1624,0.0016660032561048865,0.20967741935483872
63,0.93456,6,-15.0,False,1630,0.0074968053959310055,0.20634920634920634
64,0.9335,50,-50.0,False,1680,0.0018273903988301754,0.203125
65,0.93244,50,-50.0,False,1730,0.004531240556389093,0.2
66,0.93139,14,-3.0,True,1744,0.0042479149997234344,0.21212121212121213
67,0.93033,50,-50.0,False,1794,0.0015402123099192977,0.208955223880597
68,0.92928,50,-50.0,False,1844,0.003315139329060912,0.20588235294117646
69,0.92822,33,-22.0,True,1877,0.002972425427287817,0.21739130434782608
70,0.92717,6,-15.0,False,1883,0.0035907658748328686,0.21428571428571427
71,0.92611,26,-35.0,False,1909,0.003625317011028528,0.2112676056338028
72,0.92506,16,-25.0,False,1925,0.0065968832932412624,0.20833333333333334
