variant,episode,epsilon,moves,return,won,replay_size,loss,rolling_success_100
basic_dqn,1,1.0,20,-9.0,True,20,,1.0
basic_dqn,2,0.99932,40,-40.0,False,60,,0.5
basic_dqn,3,0.99864,40,-40.0,False,100,2.2955007553100586,0.3333333333333333
basic_dqn,4,0.99796,10,1.0,True,110,2.7284657955169678,0.5
basic_dqn,5,0.99729,19,-8.0,True,129,0.17814865708351135,0.6
basic_dqn,6,0.99661,40,-40.0,False,169,2.92779541015625,0.5
basic_dqn,7,0.99593,16,-5.0,True,185,2.528127670288086,0.5714285714285714
basic_dqn,8,0.99525,40,-40.0,False,225,2.138490915298462,0.5
basic_dqn,9,0.99457,40,-40.0,False,265,0.6844325661659241,0.4444444444444444
basic_dqn,10,0.99389,40,-40.0,False,305,1.0213407278060913,0.4
basic_dqn,11,0.99321,16,-5.0,True,321,1.0305793285369873,0.45454545454545453
basic_dqn,12,0.99254,34,-23.0,True,355,1.1126375198364258,0.5
basic_dqn,13,0.99186,39,-48.0,False,394,1.115662932395935,0.46153846153846156
basic_dqn,14,0.99118,40,-40.0,False,434,2.1400532722473145,0.42857142857142855
basic_dqn,15,0.9905,40,-40.0,False,474,0.4963298439979553,0.4
basic_dqn,16,0.98982,40,-40.0,False,514,0.31705236434936523,0.375
basic_dqn,17,0.98914,14,-23.0,False,528,2.9851255416870117,0.35294117647058826
basic_dqn,18,0.98846,16,-25.0,False,544,1.7737995386123657,0.3333333333333333
basic_dqn,19,0.98779,40,-40.0,False,584,1.2382023334503174,0.3157894736842105
basic_dqn,20,0.98711,31,-20.0,True,615,0.30361998081207275,0.35
basic_dqn,21,0.98643,40,-40.0,False,655,0.16674479842185974,0.3333333333333333
basic_dqn,22,0.98575,40,-40.0,False,695,0.1456034630537033,0.3181818181818182
basic_dqn,23,0.98507,40,-40.0,False,735,0.3536894917488098,0.30434782608695654
basic_dqn,24,0.98439,21,-10.0,True,756,0.15607628226280212,0.3333333333333333
basic_dqn,25,0.98371,2,9.0,True,758,0.27480000257492065,0.36
basic_dqn,26,0.98304,40,-40.0,False,798,0.08690232038497925,0.34615384615384615
basic_dqn,27,0.98236,40,-40.0,False,838,0.048785991966724396,0.3333333333333333
basic_dqn,28,0.98168,40,-40.0,False,878,0.027497487142682076,0.32142857142857145
basic_dqn,29,0.981,40,-40.0,False,918,0.06415902823209763,0.3103448275862069
basic_dqn,30,0.98032,7,-16.0,False,925,0.014973119832575321,0.3
basic_dqn,31,0.97964,40,-40.0,False,965,0.03555915504693985,0.2903225806451613
basic_dqn,32,0.97896,40,-40.0,False,1005,0.05683044344186783,0.28125
basic_dqn,33,0.97829,23,-32.0,False,1028,0.006872597150504589,0.2727272727272727
basic_dqn,34,0.97761,24,-33.0,False,1052,0.02690860815346241,0.2647058823529412
basic_dqn,35,0.97693,30,-39.0,False,1082,0.010726654902100563,0.2571428571428571
basic_dqn,36,0.97625,23,-32.0,False,1105,0.009893213398754597,0.25
basic_dqn,37,0.97557,40,-40.0,False,1145,0.001679787295870483,0.24324324324324326
basic_dqn,38,0.97489,5,6.0,True,1150,0.0076538752764463425,0.2631578947368421
basic_dqn,39,0.97421,40,-40.0,False,1190,0.0034754781518131495,0.2564102564102564
basic_dqn,40,0.97354,40,-40.0,False,1230,0.00187712034676224,0.25
basic_dqn,41,0.97286,40,-40.0,False,1270,0.002303560497239232,0.24390243902439024
basic_dqn,42,0.97218,40,-40.0,False,1310,0.010199394077062607,0.23809523809523808
basic_dqn,43,0.9715,40,-40.0,False,1350,0.0028903745114803314,0.23255813953488372
basic_dqn,44,0.97082,1,10.0,True,1351,0.003672151593491435,0.25
basic_dqn,45,0.97014,40,-40.0,False,1391,0.0011673418339341879,0.24444444444444444
basic_dqn,46,0.96946,29,-18.0,True,1420,0.008142301812767982,0.2608695652173913
basic_dqn,47,0.96879,11,0.0,True,1431,0.004643806256353855,0.2765957446808511
basic_dqn,48,0.96811,40,-40.0,False,1471,0.0046397363767027855,0.2708333333333333
basic_dqn,49,0.96743,40,-40.0,False,1511,0.001512338756583631,0.2653061224489796
basic_dqn,50,0.96675,18,-7.0,True,1529,0.006195407826453447,0.28
basic_dqn,51,0.96607,6,-15.0,False,1535,0.011666977778077126,0.27450980392156865
basic_dqn,52,0.96539,12,-21.0,False,1547,0.003526535350829363,0.2692307692307692
basic_dqn,53,0.96471,15,-4.0,True,1562,0.0012806702870875597,0.2830188679245283
basic_dqn,54,0.96404,40,-40.0,False,1602,0.012660668231546879,0.2777777777777778
basic_dqn,55,0.96336,24,-33.0,False,1626,0.0030379565432667732,0.2727272727272727
basic_dqn,56,0.96268,25,-14.0,True,1651,0.01680832915008068,0.2857142857142857
basic_dqn,57,0.962,6,-15.0,False,1657,0.0033232965506613255,0.2807017543859649
basic_dqn,58,0.96132,12,-1.0,True,1669,0.01268061250448227,0.29310344827586204
basic_dqn,59,0.96064,25,-34.0,False,1694,0.008514778688549995,0.288135593220339
basic_dqn,60,0.95996,3,-12.0,False,1697,0.0043844254687428474,0.2833333333333333
basic_dqn,61,0.95929,13,-2.0,True,1710,0.00848857406526804,0.29508196721311475
basic_dqn,62,0.95861,40,-40.0,False,1750,0.01956544630229473,0.2903225806451613
basic_dqn,63,0.95793,11,-20.0,False,1761,0.02006887085735798,0.2857142857142857
basic_dqn,64,0.95725,2,-11.0,False,1763,0.04920157790184021,0.28125
basic_dqn,65,0.95657,4,-13.0,False,1767,0.010716300457715988,0.27692307692307694
basic_dqn,66,0.95589,33,-42.0,False,1800,0.11161153018474579,0.2727272727272727
basic_dqn,67,0.95521,35,-44.0,False,1835,0.05674407258629799,0.26865671641791045
basic_dqn,68,0.95454,28,-17.0,True,1863,0.031105590984225273,0.27941176470588236
basic_dqn,69,0.95386,40,-40.0,False,1903,0.05826466903090477,0.2753623188405797
basic_dqn,70,0.95318,2,9.0,True,1905,0.08082429319620132,0.2857142857142857
basic_dqn,71,0.9525,40,-40.0,False,1945,0.026408320292830467,0.28169014084507044
basic_dqn,72,0.95182,2,-11.0,False,1947,0.05106772482395172,0.2777777777777778
basic_dqn,73,0.95114,28,-37.0,False,1975,0.04458067938685417,0.273972602739726
basic_dqn,74,0.95046,40,-49.0,False,2015,0.040696460753679276,0.2702702702702703
basic_dqn,75,0.94979,1,-10.0,False,2016,0.05519220232963562,0.26666666666666666
basic_dqn,76,0.94911,4,7.0,True,2020,0.08731576055288315,0.27631578947368424
basic_dqn,77,0.94843,22,-31.0,False,2042,0.1783570647239685,0.2727272727272727
basic_dqn,78,0.94775,40,-40.0,False,2082,0.10386169701814651,0.2692307692307692
basic_dqn,79,0.94707,40,-40.0,False,2122,0.056049980223178864,0.26582278481012656
basic_dqn,80,0.94639,4,7.0,True,2126,0.07572784274816513,0.275
basic_dqn,81,0.94571,16,-25.0,False,2142,0.07497356086969376,0.2716049382716049
basic_dqn,82,0.94504,30,-19.0,True,2172,0.12291114032268524,0.2804878048780488
basic_dqn,83,0.94436,1,10.0,True,2173,0.024892307817935944,0.2891566265060241
basic_dqn,84,0.94368,18,-7.0,True,2191,0.07142601907253265,0.2976190476190476
basic_dqn,85,0.943,2,9.0,True,2193,0.04711851477622986,0.3058823529411765
basic_dqn,86,0.94232,13,-2.0,True,2206,0.06861425191164017,0.313953488372093
basic_dqn,87,0.94164,40,-40.0,False,2246,0.021328678354620934,0.3103448275862069
basic_dqn,88,0.94096,26,-35.0,False,2272,0.14933247864246368,0.3068181818181818
basic_dqn,89,0.94029,40,-40.0,False,2312,0.10173241794109344,0.30337078651685395
basic_dqn,90,0.93961,40,-40.0,False,2352,0.04525843635201454,0.3
basic_dqn,91,0.93893,9,-18.0,False,2361,0.1230982095003128,0.2967032967032967
basic_dqn,92,0.93825,3,8.0,True,2364,0.06959470361471176,0.30434782608695654
basic_dqn,93,0.93757,23,-32.0,False,2387,0.03274903446435928,0.3010752688172043
basic_dqn,94,0.93689,40,-40.0,False,2427,0.3380661606788635,0.2978723404255319
basic_dqn,95,0.93621,40,-40.0,False,2467,0.20370477437973022,0.29473684210526313
basic_dqn,96,0.93554,1,-10.0,False,2468,0.20791657269001007,0.2916666666666667
basic_dqn,97,0.93486,8,3.0,True,2476,0.15014241635799408,0.29896907216494845
