episode,epsilon,moves,raw_return,train_return,won,replay_size,updates,loss,lr,rolling_success_100
1,1.0,3,-12.0,-12.4,False,3,0,0.0,0.0008,0.0
2,0.99973,29,-18.0,-17.8,True,32,0,0.0,0.0008,0.5
3,0.99946,5,-14.0,-14.0,False,37,0,0.0,0.0008,0.3333333333333333
4,0.99919,1,10.0,10.0,True,38,0,0.0,0.0008,0.5
5,0.99891,43,-32.0,-32.0,True,81,0,0.0,0.0008,0.6
6,0.99864,6,-15.0,-14.8,False,87,0,0.0,0.0008,0.5
7,0.99837,18,-7.0,-6.4,True,105,0,0.0,0.0008,0.5714285714285714
8,0.9981,2,9.0,9.0,True,107,0,0.0,0.0008,0.625
9,0.99783,4,7.0,7.4,True,111,0,0.0,0.0008,0.6666666666666666
10,0.99756,15,-4.0,-3.4,True,126,0,0.0,0.0008,0.7
11,0.99729,6,-15.0,-15.4,False,132,0,0.0,0.0008,0.6363636363636364
12,0.99701,3,-12.0,-12.0,False,135,0,0.0,0.0008,0.5833333333333334
13,0.99674,17,-6.0,-5.8,True,152,0,0.0,0.0008,0.6153846153846154
14,0.99647,9,2.0,2.2,True,161,0,0.0,0.0008,0.6428571428571429
15,0.9962,45,-54.0,-53.4,False,206,0,0.0,0.0008,0.6
16,0.99593,2,-11.0,-10.8,False,208,0,0.0,0.0008,0.5625
17,0.99566,2,9.0,9.2,True,210,0,0.0,0.0008,0.5882352941176471
18,0.99539,8,3.0,3.2,True,218,0,0.0,0.0008,0.6111111111111112
19,0.99511,5,-14.0,-13.8,False,223,0,0.0,0.0008,0.5789473684210527
20,0.99484,2,-11.0,-10.8,False,225,0,0.0,0.0008,0.55
21,0.99457,3,-12.0,-12.0,False,228,0,0.0,0.0008,0.5238095238095238
22,0.9943,3,-12.0,-11.8,False,231,0,0.0,0.0008,0.5
23,0.99403,7,-16.0,-16.2,False,238,0,0.0,0.0008,0.4782608695652174
24,0.99376,4,-13.0,-13.2,False,242,0,0.0,0.0008,0.4583333333333333
25,0.99349,17,-6.0,-5.4,True,259,0,0.0,0.0008,0.48
26,0.99321,7,4.0,4.2,True,266,0,0.0,0.0008,0.5
27,0.99294,1,10.0,10.0,True,267,0,0.0,0.0008,0.5185185185185185
28,0.99267,5,6.0,6.4,True,272,0,0.0,0.0008,0.5357142857142857
29,0.9924,10,-19.0,-19.2,False,282,0,0.0,0.0008,0.5172413793103449
30,0.99213,35,-24.0,-23.6,True,317,0,0.0,0.0008,0.5333333333333333
31,0.99186,5,-14.0,-14.2,False,322,0,0.0,0.0008,0.5161290322580645
32,0.99159,11,0.0,0.8,True,333,0,0.0,0.0008,0.53125
33,0.99131,13,-22.0,-22.0,False,346,0,0.0,0.0008,0.5151515151515151
34,0.99104,3,8.0,8.4,True,349,0,0.0,0.0008,0.5294117647058824
35,0.99077,3,-12.0,-12.0,False,352,0,0.0,0.0008,0.5142857142857142
36,0.9905,15,-4.0,-3.8,True,367,0,0.0,0.0008,0.5277777777777778
37,0.99023,1,-10.0,-10.0,False,368,0,0.0,0.0008,0.5135135135135135
38,0.98996,39,-48.0,-47.8,False,407,0,0.0,0.0008,0.5
39,0.98969,43,-52.0,-52.6,False,450,0,0.0,0.0008,0.48717948717948717
40,0.98941,1,-10.0,-10.0,False,451,0,0.0,0.0008,0.475
41,0.98914,12,-21.0,-21.4,False,463,0,0.0,0.0008,0.4634146341463415
42,0.98887,30,-19.0,-18.4,True,493,0,0.0,0.0008,0.47619047619047616
43,0.9886,1,-10.0,-10.0,False,494,0,0.0,0.0008,0.46511627906976744
44,0.98833,43,-52.0,-52.0,False,537,26,0.9170501232147217,0.0007999999309127715,0.45454545454545453
45,0.98806,16,-5.0,-4.4,True,553,42,0.7629950046539307,0.0007999997236511132,0.4666666666666667
46,0.98779,8,3.0,3.6,True,561,50,0.9390634894371033,0.0007999993782151068,0.4782608695652174
47,0.98751,17,-26.0,-26.4,False,578,67,0.7448405623435974,0.0007999988946048889,0.46808510638297873
48,0.98724,11,-20.0,-20.0,False,589,78,0.798946738243103,0.0007999982728206504,0.4583333333333333
49,0.98697,32,-21.0,-20.6,True,621,110,0.7665655016899109,0.0007999975128626365,0.46938775510204084
50,0.9867,9,-18.0,-18.8,False,630,119,0.7514438629150391,0.0007999966147311475,0.46
51,0.98643,1,10.0,10.0,True,631,120,0.8157002925872803,0.0007999955784265379,0.47058823529411764
52,0.98616,11,0.0,0.4,True,642,131,0.7652709484100342,0.0007999944039492168,0.4807692307692308
53,0.98589,23,-12.0,-11.4,True,665,154,0.7668368220329285,0.0007999930912996479,0.49056603773584906
54,0.98561,9,-18.0,-18.0,False,674,163,0.6296494603157043,0.0007999916404783494,0.48148148148148145
55,0.98534,1,10.0,10.0,True,675,164,0.6383699774742126,0.000799990051485894,0.4909090909090909
56,0.98507,10,-19.0,-19.0,False,685,174,0.7116803526878357,0.000799988324322909,0.48214285714285715
57,0.9848,45,-45.0,-44.8,False,730,219,0.7607131004333496,0.0007999864589900763,0.47368421052631576
58,0.98453,31,-40.0,-39.6,False,761,250,0.7157135605812073,0.0007999844554881323,0.46551724137931033
59,0.98426,12,-1.0,-1.0,True,773,262,0.6852620244026184,0.000799982313817868,0.4745762711864407
60,0.98399,12,-21.0,-20.8,False,785,274,0.6698753833770752,0.000799980033980129,0.4666666666666667
61,0.98371,9,-18.0,-18.0,False,794,283,0.6082866191864014,0.0007999776159758151,0.45901639344262296
62,0.98344,31,-20.0,-19.6,True,825,314,0.555326521396637,0.0007999750598058809,0.46774193548387094
63,0.98317,15,-4.0,-3.8,True,840,329,0.5734405517578125,0.0007999723654713356,0.47619047619047616
64,0.9829,12,-21.0,-21.4,False,852,341,0.6361864805221558,0.000799969532973243,0.46875
65,0.98263,3,8.0,8.2,True,855,344,0.5455949306488037,0.0007999665623127212,0.47692307692307695
66,0.98236,12,-1.0,-0.6,True,867,356,0.62464439868927,0.0007999634534909429,0.48484848484848486
67,0.98209,4,-13.0,-12.8,False,871,360,0.449988454580307,0.0007999602065091356,0.47761194029850745
68,0.98181,10,1.0,1.6,True,881,370,0.613186240196228,0.0007999568213685811,0.4852941176470588
69,0.98154,13,-2.0,-1.4,True,894,383,0.5316779613494873,0.0007999532980706158,0.4927536231884058
70,0.98127,15,-24.0,-23.8,False,909,398,0.5424596667289734,0.0007999496366166305,0.4857142857142857
71,0.981,45,-45.0,-44.8,False,954,443,0.437086284160614,0.0007999458370080709,0.4788732394366197
72,0.98073,9,-18.0,-17.8,False,963,452,0.41532889008522034,0.0007999418992464368,0.4722222222222222
73,0.98046,9,-18.0,-18.0,False,972,461,0.3109884560108185,0.000799937823333283,0.4657534246575342
74,0.98019,16,-25.0,-24.4,False,988,477,0.3458458185195923,0.0007999336092702184,0.4594594594594595
75,0.97991,17,-26.0,-26.2,False,1005,494,0.25771304965019226,0.0007999292570589069,0.4533333333333333
76,0.97964,12,-1.0,-0.6,True,1017,506,0.5304734706878662,0.0007999247667010665,0.4605263157894737
77,0.97937,7,4.0,4.2,True,1024,513,0.6423211097717285,0.00079992013819847,0.4675324675324675
78,0.9791,13,-2.0,-1.2,True,1037,526,0.7392486929893494,0.0007999153715529444,0.47435897435897434
79,0.97883,5,6.0,6.0,True,1042,531,0.86133873462677,0.0007999104667663718,0.4810126582278481
