episode,epsilon,moves,raw_return,train_return,won,replay_size,updates,loss,lr,rolling_success_100,beta
1,1.0,6,-15.0,-14.4,False,6,0,,0.0008,0.0,0.40012000000000003
2,0.99972,45,-45.0,-44.8,False,47,0,,0.0008,0.0,0.40102000000000004
3,0.99944,7,-16.0,-15.6,False,54,0,,0.0008,0.0,0.40116
4,0.99916,7,-16.0,-15.6,False,61,0,,0.0008,0.0,0.40130000000000005
5,0.99888,1,10.0,10.0,True,62,0,,0.0008,0.2,0.40132
6,0.9986,4,7.0,7.2,True,66,0,,0.0008,0.3333333333333333,0.40140000000000003
7,0.99832,5,6.0,6.4,True,71,0,,0.0008,0.42857142857142855,0.4015
8,0.99804,5,6.0,6.0,True,76,0,,0.0008,0.5,0.4016
9,0.99776,3,8.0,8.0,True,79,0,,0.0008,0.5555555555555556,0.40166
10,0.99748,1,10.0,10.0,True,80,0,,0.0008,0.6,0.40168000000000004
11,0.9972,12,-1.0,-0.8,True,92,0,,0.0008,0.6363636363636364,0.40192
12,0.99692,21,-10.0,-9.6,True,113,0,,0.0008,0.6666666666666666,0.40234000000000003
13,0.99664,12,-1.0,-0.8,True,125,0,,0.0008,0.6923076923076923,0.40258000000000005
14,0.99636,5,6.0,6.4,True,130,0,,0.0008,0.7142857142857143,0.40268000000000004
15,0.99608,5,-14.0,-14.0,False,135,0,,0.0008,0.6666666666666666,0.40278
16,0.9958,6,5.0,5.2,True,141,0,,0.0008,0.6875,0.40290000000000004
17,0.99552,4,7.0,7.2,True,145,0,,0.0008,0.7058823529411765,0.40298
18,0.99524,1,10.0,10.0,True,146,0,,0.0008,0.7222222222222222,0.403
19,0.99496,8,-17.0,-17.6,False,154,0,,0.0008,0.6842105263157895,0.40316
20,0.99468,17,-26.0,-25.6,False,171,0,,0.0008,0.65,0.4035
21,0.9944,4,7.0,7.2,True,175,0,,0.0008,0.6666666666666666,0.40358000000000005
22,0.99412,1,10.0,10.0,True,176,0,,0.0008,0.6818181818181818,0.4036
23,0.99384,2,9.0,9.2,True,178,0,,0.0008,0.6956521739130435,0.40364
24,0.99356,10,1.0,1.6,True,188,0,,0.0008,0.7083333333333334,0.40384000000000003
25,0.99328,3,8.0,8.4,True,191,0,,0.0008,0.72,0.40390000000000004
26,0.993,18,-7.0,-6.8,True,209,0,,0.0008,0.7307692307692307,0.40426
27,0.99272,33,-22.0,-21.6,True,242,0,,0.0008,0.7407407407407407,0.40492
28,0.99244,7,4.0,4.0,True,249,0,,0.0008,0.75,0.40506000000000003
29,0.99216,1,10.0,10.0,True,250,0,,0.0008,0.7586206896551724,0.40508
30,0.99188,23,-32.0,-31.6,False,273,0,,0.0008,0.7333333333333333,0.40554
31,0.9916,1,10.0,10.0,True,274,0,,0.0008,0.7419354838709677,0.40556000000000003
32,0.99132,5,-14.0,-13.6,False,279,0,,0.0008,0.71875,0.40566
33,0.99104,3,-12.0,-11.6,False,282,0,,0.0008,0.696969696969697,0.40572
